## User dictionary format:
##   <text>, <token1> <token2> ... <tokenn>, <reading1> <reading2> ... <readingn>, <part-of-speech> 

#記号系
(,(,(,記号_括弧開
),),),記号_括弧閉
[,[,[,記号_括弧開
],],],記号_括弧閉
{,{,{,記号_括弧開
},},},記号_括弧閉
.,.,.,記号_ピリオド
-,-,-,記号_ハイフン
#DM
刃鬼,刃鬼,バキ,カスタム名詞
ミカド,ミカド,ミカド,カスタム名詞
黒緑,黒緑,クロミドリ,カスタム名詞
カレーパン,カレーパン,カレーパン,カスタム名詞
百万超邪,百万超邪,ミリオネア,カスタム名詞
クロスファイア,クロスファイア,クロスファイア,カスタム名詞
Bロマノフ,Bロマノフ,Bロマノフ,カスタム名詞
めった切り,めった切り,メッタギリ,カスタム名詞
サーファー,サーファー,サーファー,カスタム名詞
5000GT,5000GT,5000GT,カスタム名詞
ブラスター,ブラスター,ブラスター,カスタム名詞
ゾロスター,ゾロスター,ゾロスター,カスタム名詞
連ドラ,連ドラ,レンドラ,カスタム名詞
エンコマ,エンコマ,エンコマ,カスタム名詞
デモコマ,デモコマ,デモコマ,カスタム名詞
鬼丸,鬼丸,オニマル,カスタム名詞
鬼切丸,鬼切丸,オニキリマル,カスタム名詞

#カード
MtG,MtG,MtG,カスタム名詞
ワンチャン,ワンチャン,ワンチャン,カスタム名詞
リアガード,リアガード,リアガード,カスタム名詞
解放者,解放者,リベレイター,カスタム名詞
抹消者,抹消者,イレイザー,カスタム名詞
タイタン,タイタン,タイタン,カスタム名詞
トークン,トークン,トークン,カスタム名詞

#その他
ラン速,ラン速,ランソク,カスタム名詞
リア充,リア充,リアジュウ,カスタム名詞
ラブライブ,ラブライブ,ラブライブ,カスタム名詞
西木野,西木野,ニシキノ,カスタム名詞
ことり,ことり,コトリ,カスタム名詞
神回,神回,カミカイ,カスタム名詞
黒雪姫,黒雪姫,クロユキヒメ,カスタム名詞
